Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Accident Year,Age Group of Casualty,Time Period
2,2009-01-24,1715,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,42,Car,2009,Adult,Noon
1,2009-01-24,800,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car,2009,Adult,Daytime
1,2009-01-24,308,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car,2009,Adult,Midnight
3,2009-01-24,1300,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Car,2009,Adult,Noon
2,2009-01-25,1715,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,33,Motorcycle over 500cc,2009,Adult,Noon
1,2009-01-26,1600,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats),2009,Adult,Noon
2,2009-01-26,845,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,2009,Adult,Daytime
2,2009-01-26,1510,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Car,2009,Child,Noon
2,2009-01-26,1510,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,3,Car,2009,Child,Noon
1,2009-01-27,830,Wet / Damp,Daylight: street lights present,Unknown,Driver,Slight,Male,42,Motorcycle over 50cc and up to 125cc,2009,Adult,Daytime
1,2009-01-27,925,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats),2009,Adult,Daytime
3,2009-01-27,1755,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,50,Car,2009,Adult,Noon
3,2009-01-27,1755,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Female,42,Car,2009,Adult,Noon
3,2009-01-27,1755,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,39,Car,2009,Adult,Noon
3,2009-01-27,1755,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,1,Car,2009,Toddler,Noon
2,2009-01-27,757,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car,2009,Adult,Daytime
2,2009-01-27,757,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car,2009,Adult,Daytime
2,2009-01-27,840,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,2009,Adult,Daytime
2,2009-01-28,1500,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car,2009,Adult,Noon
2,2009-01-28,1500,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Car,2009,Adult,Noon
1,2009-01-28,1440,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats),2009,Adult,Noon
1,2009-01-28,1440,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Bus or coach (17 or more passenger seats),2009,Elderly,Noon
3,2009-01-28,1530,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Fatal,Male,75,Car,2009,Elderly,Noon
3,2009-01-28,1530,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car,2009,Adult,Noon
